,TABLE_NAME,COLUMN_NAME,OBJECT_NAME,LABEL,SQL_TYPE,PRESCISION,IS_PK,IS_FK,AUTO++,NULLABLE,DESCRIPTION
,PARAMETRO,,Parametro,,"Parametro",,,,
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,id_tema_comunicado,IdTemaComunicado,"Id Tema Comunicado",INT,0,true,false,true,false
,,tema_espaniol,TemaEspaniol,"Tema Espaniol",VARCHAR,100,false,false,false,false
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,DETALLE_TABLA_COMPLEMENTARIO,,DetalleTablaComplementario,,"Detalle Tabla Complementario",,,,
,,aplica_material_extra,AplicaMaterialExtra,"Aplica Material Extra",TINYINT,0,false,false,false,true
,,porcentaje,Porcentaje,"Porcentaje",INT,0,false,false,false,false
,,aplica_kit,AplicaKit,"Aplica Kit",TINYINT,0,false,false,false,true
,,aplica_cantidad_vuelo,AplicaCantidadVuelo,"Aplica Cantidad Vuelo",TINYINT,0,false,false,false,true
,,aplica_pax,AplicaPax,"Aplica Pax",TINYINT,0,false,false,false,true
,,nombre_complementario,NombreComplementario,"Nombre Complementario",VARCHAR,90,false,false,false,false
,,id_detalle_tabla_complementario,IdDetalleTablaComplementario,"Id Detalle Tabla Complementario",INT,0,true,false,true,false
,,id_tabla_abordamiento,IdTablaAbordamiento,"Id Tabla Abordamiento",INT,0,false,true,false,false
,REPORTE,,Reporte,,"Reporte",,,,
,,id_reporte,IdReporte,"Id Reporte",INT,0,true,false,true,false
,,id_tipo_producto_reporte,IdTipoProductoReporte,"Id Tipo Producto Reporte",INT,0,false,true,false,true
,,id_estatus_reporte_actual,IdEstatusReporteActual,"Id Estatus Reporte Actual",INT,0,false,true,false,true
,,clave_reporte,ClaveReporte,"Clave Reporte",VARCHAR,20,false,false,false,false
,,id_responsable_proveedor_estacion_final,IdResponsableProveedorEstacionFinal,"Id Responsable Proveedor Estacion Final",INT,0,false,true,false,true
,,descripcion,Descripcion,"Descripcion",VARCHAR,150,false,false,false,false
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,id_responsable_amx,IdResponsableAmx,"Id Responsable Amx",INT,0,false,true,false,true
,,id_vuelo,IdVuelo,"Id Vuelo",INT,0,false,true,false,false
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,id_area_responsable,IdAreaResponsable,"Id Area Responsable",INT,0,false,true,false,true
,,id_responsable_proveedor_estacion,IdResponsableProveedorEstacion,"Id Responsable Proveedor Estacion",INT,0,false,true,false,true
,,fecha_creo,FechaCreo,"Fecha Creo",TIMESTAMP,0,false,false,false,false
,,id_responsable_final_amx,IdResponsableFinalAmx,"Id Responsable Final Amx",INT,0,false,true,false,true
,,fecha_vuelo,FechaVuelo,"Fecha Vuelo",DATE,0,false,false,false,false
,,id_clase,IdClase,"Id Clase",INT,0,false,true,false,false
,,id_tipo_reporte,IdTipoReporte,"Id Tipo Reporte",INT,0,false,true,false,false
,,fecha_modifico,FechaModifico,"Fecha Modifico",TIMESTAMP,0,false,false,false,false
,COMUNICADO,,Comunicado,,"Comunicado",,,,
,,estatus_comunicado,EstatusComunicado,"Estatus Comunicado",INT,0,false,true,false,false
,,fecha_fin_publicacion,FechaFinPublicacion,"Fecha Fin Publicacion",DATE,0,false,false,false,true
,,no_revision,NoRevision,"No Revision",TINYINT,0,false,false,false,false
,,fecha_inicio_publicacion,FechaInicioPublicacion,"Fecha Inicio Publicacion",DATE,0,false,false,false,false
,,dirigido_si_no,DirigidoSiNo,"Dirigido Si No",TINYINT,0,false,false,false,true
,,usuario_creo,UsuarioCreo,"Usuario Creo",VARCHAR,100,false,false,false,false
,,id_area,IdArea,"Id Area",INT,0,false,true,false,false
,,mensaje,Mensaje,"Mensaje",VARCHAR,1024,false,false,false,false
,,titulo,Titulo,"Titulo",VARCHAR,255,false,false,false,false
,,id_idioma,IdIdioma,"Id Idioma",INT,0,false,true,false,false
,,id_empleado,IdEmpleado,"Id Empleado",INT,0,false,true,false,false
,,mensaje_slider,MensajeSlider,"Mensaje Slider",VARCHAR,30,false,false,false,true
,,ref_otro_comunicado,RefOtroComunicado,"Ref Otro Comunicado",VARCHAR,15,false,false,false,true
,,status,Status,"Status",TINYINT,0,false,false,false,false
,,usuario_modifico,UsuarioModifico,"Usuario Modifico",VARCHAR,100,false,false,false,false
,,id_tema,IdTema,"Id Tema",INT,0,false,true,false,false
,,referencia,Referencia,"Referencia",VARCHAR,15,false,false,false,false
